asesoro	noun	eo	adviser	noun	en	Y
forte	adverb	eo	hugely	adverb	en	Y
devo	noun	eo	homework	noun	en	N
nepre	adverb	eo	inevitably	adverb	en	Y
Herodoto	properNoun	eo	Herodotus	properNoun	en	Y
farmakologio	noun	eo	pharmacology	noun	en	Y
moderna	adjective	eo	state	of	the	Y
aŭdaca	adjective	eo	fearless	adjective	en	Y
inversa	adjective	eo	contrary	adjective	en	Y
karakterize	adverb	eo	characteristically	adverb	en	Y
dungiteco	noun	eo	job	noun	en	Y
Hispan	ameriko	properNoun	Latin America	properNoun	en	Y
sekulareco	noun	eo	laicism	noun	en	Y
aliformi	verb	eo	transform	verb	en	Y
kurioza	adjective	eo	curious	adjective	en	Y
antikva	adjective	eo	old	fashioned	adjective	Y
Ĝakarto	properNoun	eo	Jakarta	properNoun	en	Y
elprovo	noun	eo	test	noun	en	Y
malkonfido	noun	eo	distrust	noun	en	Y
ĝis nun	adverb	eo	for the meantime	adverb	en	Y
klaso	noun	eo	rank	noun	en	N
monstre	adverb	eo	monstrously	adverb	en	Y
falsa	adjective	eo	dud	adjective	en	Y
simuli	verb	eo	simulate	verb	en	Y
postrestaĵo	noun	eo	waste	noun	en	Y
vesto	noun	eo	cloth	noun	en	Y
malizotropa	adjective	eo	anisotropic	adjective	en	Y
rilato	noun	eo	connection	noun	en	Y
deĵoro	noun	eo	turn	noun	en	Y
falsema	adjective	eo	deceitful	adjective	en	Y
idaro	noun	eo	descendant	noun	en	Y
oftalmologio	noun	eo	ophthalmology	noun	en	Y
geedzeco	noun	eo	couple	noun	en	N
Jozefo	properNoun	eo	José	properNoun	en	N
malluma	adjective	eo	obscure	adjective	en	Y
Marseille	properNoun	eo	Marseilles	properNoun	en	Y
lernofako	noun	eo	subject	noun	en	Y
fluejo	noun	eo	course	noun	en	Y
Kostariko	properNoun	eo	Costa Rica	properNoun	en	Y
vojeto	noun	eo	footpath	noun	en	Y
Brita Insularo	properNoun	eo	British Isles	properNoun	en	Y
koro	noun	eo	core	noun	en	Y
de nun	adverb	eo	from now on	adverb	en	Y
arĝento	noun	eo	money	noun	en	N
detrua	adjective	eo	destroyer	adjective	en	N
Lluc	properNoun	eo	Lucas	properNoun	en	N
arte	adverb	eo	artistically	adverb	en	N
litero	noun	eo	lyric	noun	en	Y
pli	adverb	eo	else	adverb	en	N
bredi	verb	eo	grow	verb	en	Y
profesoro	noun	eo	teacher	noun	en	N
desupri	verb	eo	lower	verb	en	Y
buo	noun	eo	buoy	noun	en	Y
ĉiutage	adverb	eo	every day	adverb	en	Y
oportuna	adjective	eo	apposite	adjective	en	Y
lukti	verb	eo	fight	verb	en	Y
kreaĵo	noun	eo	child	noun	en	Y
Antono	properNoun	eo	Antoni	properNoun	en	N
komenco	noun	eo	opening	noun	en	Y
apuda	adjective	eo	forthcoming	adjective	en	N
Danielo	properNoun	eo	Daniel	properNoun	en	Y
Sevilla	properNoun	eo	Seville	properNoun	en	Y
aŭtoritata	adjective	eo	authoritarian	adjective	en	N
komunikaĵo	noun	eo	report	noun	en	Y
Ŝanhajo	properNoun	eo	Shanghai	properNoun	en	Y
resto	noun	eo	wreckage	noun	en	Y
absolvi	verb	eo	acquit	verb	en	Y
delikate	adverb	eo	carefully	adverb	en	Y
regresi	verb	eo	return	verb	en	N
Eŭlero	properNoun	eo	Euler	properNoun	en	Y
gvati	verb	eo	threaten	verb	en	N
precipe	adverb	eo	chiefly	adverb	en	Y
kolero	noun	eo	rage	noun	en	Y
Francisco	properNoun	eo	Francis	properNoun	en	N
kazo	noun	eo	event	noun	en	N
arbitracii	verb	eo	adjudicate	verb	en	Y
ĥaosa	adjective	eo	chaotic	adjective	en	Y
flustri	verb	eo	mutter	verb	en	N
subteni	verb	eo	advocate	verb	en	Y
senartifika	adjective	eo	straightforward	adjective	en	Y
kurso	noun	eo	path	noun	en	N
intenco	noun	eo	goal	noun	en	Y
politeknika	adjective	eo	polytechnical	adjective	en	Y
mallarĝe	adverb	eo	tightly	adverb	en	Y
Raimon	properNoun	eo	Ramon	properNoun	en	N
komprenema	adjective	eo	sympathetic	adjective	en	Y
enigma	adjective	eo	enigmatic	adjective	en	Y
Troya	properNoun	eo	Troy	properNoun	en	Y
bedaŭrinde	adverb	eo	alas	adverb	en	Y
atribui	verb	eo	allot	verb	en	Y
kondukilo	noun	eo	pipe	noun	en	Y
Mjanmao	properNoun	eo	Burma	properNoun	en	Y
malrespekta	adjective	eo	disrespectful	adjective	en	Y
geometrie	adverb	eo	geometrically	adverb	en	Y
kunordigite	adverb	eo	coordinatedly	adverb	en	Y
maniero	noun	eo	way	noun	en	Y
Georgo	properNoun	eo	Jorge	properNoun	en	N
Mikaelo	properNoun	eo	Miguel	properNoun	en	N
mergi	verb	eo	plunge	verb	en	Y
loteca	adjective	eo	random	adjective	en	Y
intence	adverb	eo	advisedly	adverb	en	Y
fronte	adverb	eo	in command	adverb	en	Y
apelacii	verb	eo	resort	verb	en	N
vane	adverb	eo	in vain	adverb	en	Y
kasacii	verb	eo	marry	verb	en	N
Malio	properNoun	eo	Mali	properNoun	en	Y
agoni	verb	eo	be in decline	verb	en	Y
Jemeno	properNoun	eo	Yemen	properNoun	en	Y
produkteme	adverb	eo	productively	adverb	en	Y
hontema	adjective	eo	shameful	adjective	en	N
profana	adjective	eo	profane	adjective	en	Y
belega	adjective	eo	handsome	adjective	en	Y
fosto	noun	eo	stick	noun	en	Y
dizerti	verb	eo	defect	verb	en	Y
instrua	adjective	eo	educative	adjective	en	Y
sobre	adverb	eo	sparingly	adverb	en	Y
dekstra	adjective	eo	right	handed	adjective	N
graŭli	verb	eo	growl	verb	en	Y
vesto	noun	eo	clothing	noun	en	Y
Hongkongo	properNoun	eo	Hong Kong	properNoun	en	Y
fantazia	adjective	eo	fantastic	adjective	en	Y
koncernaĵo	noun	eo	subject	noun	en	Y
sube	adverb	eo	under	adverb	en	Y
informo	noun	eo	report	noun	en	Y
mizero	noun	eo	poverty	noun	en	Y
signalo	noun	eo	sign	noun	en	Y
sata	adjective	eo	fed up	adjective	en	Y
aro	noun	eo	group	noun	en	Y
Filipo	properNoun	eo	Philippe	properNoun	en	Y
karakteriza	adjective	eo	characteristic	adjective	en	Y
antaŭhieraŭ	adverb	eo	the day before yesterday	adverb	en	Y
ĝeni	verb	eo	disturb	verb	en	Y
Karolo	properNoun	eo	Carlos	properNoun	en	N
kuraĝa	adjective	eo	intrepid	adjective	en	Y
influo	noun	eo	ancestor	noun	en	N
konstruo	noun	eo	building	noun	en	Y
provizi	verb	eo	achieve	verb	en	N
planko	noun	eo	soil	noun	en	N
seksperforti	verb	eo	violate	verb	en	Y
ŝelo	noun	eo	shell	noun	en	Y
remeto	noun	eo	replacement	noun	en	Y
provoki	verb	eo	trigger	verb	en	Y
frue	adverb	eo	soon	adverb	en	Y
retmesaĝo	noun	eo	email	noun	en	Y
finiĝo	noun	eo	expiration	noun	en	Y
empirie	adverb	eo	empirically	adverb	en	Y
Helena	properNoun	eo	Elena	properNoun	en	N
nevarie	adverb	eo	invariably	adverb	en	Y
Kartezio	properNoun	eo	Descartes	properNoun	en	Y
ekstrapoli	verb	eo	extrapolate	verb	en	Y
